2023-12-10 11:21:15,664 ; dogbone.ui ; DEBUG ; 226; current ID: 5633855123433482782
2023-12-10 11:21:15,689 ; dogbone.ui ; DEBUG ; 237; In a recognized occurrence
2023-12-10 11:21:15,720 ; dogbone.ui ; DEBUG ; 240; preSelect triggered
2023-12-10 11:21:15,752 ; dogbone.decorators.isSelected ; DEBUG ; 99; is selectable: True
2023-12-10 11:21:15,789 ; dogbone.ui ; INFO ; 225; onPreSelect - active:True ended:False
2023-12-10 11:21:15,819 ; dogbone.ui ; DEBUG ; 226; current ID: 5633855123433482782
2023-12-10 11:21:15,851 ; dogbone.ui ; DEBUG ; 237; In a recognized occurrence
2023-12-10 11:21:15,882 ; dogbone.ui ; DEBUG ; 240; preSelect triggered
2023-12-10 11:21:15,913 ; dogbone.decorators.isSelected ; DEBUG ; 99; is selectable: True
2023-12-10 11:21:15,951 ; dogbone.ui ; INFO ; 175; Mouse - active:True ended:False
2023-12-10 11:21:15,983 ; dogbone.ui ; DEBUG ; 176; current ID: 5633855123433482782
2023-12-10 11:21:16,248 ; dogbone.ui ; INFO ; 225; onPreSelect - active:True ended:False
2023-12-10 11:21:16,286 ; dogbone.ui ; DEBUG ; 226; current ID: 5633855123433482782
2023-12-10 11:21:16,318 ; dogbone.ui ; DEBUG ; 237; In a recognized occurrence
2023-12-10 11:21:16,348 ; dogbone.ui ; DEBUG ; 240; preSelect triggered
2023-12-10 11:21:16,379 ; dogbone.decorators.isSelected ; DEBUG ; 99; is selectable: True
2023-12-10 11:21:16,417 ; dogbone.ui ; INFO ; 225; onPreSelect - active:True ended:False
2023-12-10 11:21:16,448 ; dogbone.ui ; DEBUG ; 226; current ID: 5633855123433482782
2023-12-10 11:21:16,479 ; dogbone.ui ; DEBUG ; 237; In a recognized occurrence
2023-12-10 11:21:16,510 ; dogbone.ui ; DEBUG ; 240; preSelect triggered
2023-12-10 11:21:16,542 ; dogbone.decorators.isSelected ; DEBUG ; 99; is selectable: True
2023-12-10 11:21:16,579 ; dogbone.ui ; INFO ; 175; Mouse - active:True ended:False
2023-12-10 11:21:16,604 ; dogbone.ui ; DEBUG ; 176; current ID: 5633855123433482782
2023-12-10 11:21:16,642 ; dogbone.ui ; INFO ; 225; onPreSelect - active:True ended:False
2023-12-10 11:21:16,674 ; dogbone.ui ; DEBUG ; 226; current ID: 5633855123433482782
2023-12-10 11:21:16,705 ; dogbone.ui ; DEBUG ; 237; In a recognized occurrence
2023-12-10 11:21:16,731 ; dogbone.ui ; DEBUG ; 240; preSelect triggered
2023-12-10 11:21:16,763 ; dogbone.decorators.isSelected ; DEBUG ; 99; is selectable: True
2023-12-10 11:21:16,801 ; dogbone.ui ; INFO ; 225; onPreSelect - active:True ended:False
2023-12-10 11:21:16,832 ; dogbone.ui ; DEBUG ; 226; current ID: 5633855123433482782
2023-12-10 11:21:16,863 ; dogbone.ui ; DEBUG ; 237; In a recognized occurrence
2023-12-10 11:21:16,894 ; dogbone.ui ; DEBUG ; 240; preSelect triggered
2023-12-10 11:21:16,920 ; dogbone.decorators.isSelected ; DEBUG ; 99; is selectable: True
2023-12-10 11:21:16,957 ; dogbone.ui ; INFO ; 175; Mouse - active:True ended:False
2023-12-10 11:21:16,982 ; dogbone.ui ; DEBUG ; 176; current ID: 5633855123433482782
2023-12-10 11:21:17,020 ; dogbone.ui ; INFO ; 225; onPreSelect - active:True ended:False
2023-12-10 11:21:17,046 ; dogbone.ui ; DEBUG ; 226; current ID: 5633855123433482782
2023-12-10 11:21:17,077 ; dogbone.ui ; DEBUG ; 237; In a recognized occurrence
2023-12-10 11:21:17,109 ; dogbone.ui ; DEBUG ; 240; preSelect triggered
2023-12-10 11:21:17,141 ; dogbone.decorators.isSelected ; DEBUG ; 99; is selectable: True
2023-12-10 11:21:17,179 ; dogbone.ui ; INFO ; 225; onPreSelect - active:True ended:False
2023-12-10 11:21:17,210 ; dogbone.ui ; DEBUG ; 226; current ID: 5633855123433482782
2023-12-10 11:21:17,242 ; dogbone.ui ; DEBUG ; 237; In a recognized occurrence
2023-12-10 11:21:17,274 ; dogbone.ui ; DEBUG ; 240; preSelect triggered
2023-12-10 11:21:17,299 ; dogbone.decorators.isSelected ; DEBUG ; 99; is selectable: True
2023-12-10 11:21:17,337 ; dogbone.ui ; INFO ; 175; Mouse - active:True ended:False
2023-12-10 11:21:17,368 ; dogbone.ui ; DEBUG ; 176; current ID: 5633855123433482782
2023-12-10 11:21:17,406 ; dogbone.ui ; INFO ; 225; onPreSelect - active:True ended:False
2023-12-10 11:21:17,438 ; dogbone.ui ; DEBUG ; 226; current ID: 5633855123433482782
2023-12-10 11:21:17,463 ; dogbone.ui ; DEBUG ; 237; In a recognized occurrence
2023-12-10 11:21:17,494 ; dogbone.ui ; DEBUG ; 240; preSelect triggered
2023-12-10 11:21:17,525 ; dogbone.decorators.isSelected ; DEBUG ; 99; is selectable: True
2023-12-10 11:21:17,565 ; dogbone.ui ; INFO ; 225; onPreSelect - active:True ended:False
2023-12-10 11:21:17,608 ; dogbone.ui ; DEBUG ; 226; current ID: 5633855123433482782
2023-12-10 11:21:17,639 ; dogbone.ui ; DEBUG ; 237; In a recognized occurrence
2023-12-10 11:21:17,670 ; dogbone.ui ; DEBUG ; 240; preSelect triggered
2023-12-10 11:21:17,701 ; dogbone.decorators.isSelected ; DEBUG ; 99; is selectable: True
2023-12-10 11:21:17,739 ; dogbone.ui ; INFO ; 175; Mouse - active:True ended:False
2023-12-10 11:21:17,770 ; dogbone.ui ; DEBUG ; 176; current ID: 5633855123433482782
2023-12-10 11:21:17,809 ; dogbone.ui ; INFO ; 225; onPreSelect - active:True ended:False
2023-12-10 11:21:17,841 ; dogbone.ui ; DEBUG ; 226; current ID: 5633855123433482782
2023-12-10 11:21:17,872 ; dogbone.ui ; DEBUG ; 237; In a recognized occurrence
2023-12-10 11:21:17,897 ; dogbone.ui ; DEBUG ; 240; preSelect triggered
2023-12-10 11:21:17,929 ; dogbone.decorators.isSelected ; DEBUG ; 99; is selectable: True
2023-12-10 11:21:17,967 ; dogbone.ui ; INFO ; 225; onPreSelect - active:True ended:False
2023-12-10 11:21:17,993 ; dogbone.ui ; DEBUG ; 226; current ID: 5633855123433482782
2023-12-10 11:21:18,025 ; dogbone.ui ; DEBUG ; 237; In a recognized occurrence
2023-12-10 11:21:18,050 ; dogbone.ui ; DEBUG ; 240; preSelect triggered
2023-12-10 11:21:18,082 ; dogbone.decorators.isSelected ; DEBUG ; 99; is selectable: True
2023-12-10 11:21:18,120 ; dogbone.ui ; INFO ; 225; onPreSelect - active:True ended:False
2023-12-10 11:21:18,152 ; dogbone.ui ; DEBUG ; 226; current ID: 5633855123433482782
2023-12-10 11:21:18,183 ; dogbone.ui ; DEBUG ; 237; In a recognized occurrence
2023-12-10 11:21:18,215 ; dogbone.ui ; DEBUG ; 240; preSelect triggered
2023-12-10 11:21:18,247 ; dogbone.decorators.isSelected ; DEBUG ; 99; is selectable: True
2023-12-10 11:21:18,285 ; dogbone.ui ; INFO ; 225; onPreSelect - active:True ended:False
2023-12-10 11:21:18,311 ; dogbone.ui ; DEBUG ; 226; current ID: 5633855123433482782
2023-12-10 11:21:18,343 ; dogbone.ui ; DEBUG ; 237; In a recognized occurrence
2023-12-10 11:21:18,375 ; dogbone.ui ; DEBUG ; 240; preSelect triggered
2023-12-10 11:21:18,407 ; dogbone.decorators.isSelected ; DEBUG ; 99; is selectable: True
2023-12-10 11:21:18,444 ; dogbone.ui ; INFO ; 175; Mouse - active:True ended:False
2023-12-10 11:21:18,476 ; dogbone.ui ; DEBUG ; 176; current ID: 5633855123433482782
2023-12-10 11:21:18,515 ; dogbone.ui ; INFO ; 225; onPreSelect - active:True ended:False
2023-12-10 11:21:18,547 ; dogbone.ui ; DEBUG ; 226; current ID: 5633855123433482782
2023-12-10 11:21:18,573 ; dogbone.ui ; DEBUG ; 237; In a recognized occurrence
2023-12-10 11:21:18,605 ; dogbone.ui ; DEBUG ; 240; preSelect triggered
2023-12-10 11:21:18,631 ; dogbone.decorators.isSelected ; DEBUG ; 99; is selectable: True
2023-12-10 11:21:18,669 ; dogbone.ui ; INFO ; 225; onPreSelect - active:True ended:False
2023-12-10 11:21:18,701 ; dogbone.ui ; DEBUG ; 226; current ID: 5633855123433482782
2023-12-10 11:21:18,726 ; dogbone.ui ; DEBUG ; 237; In a recognized occurrence
2023-12-10 11:21:18,758 ; dogbone.ui ; DEBUG ; 240; preSelect triggered
